username,content,publish_time,source,repost_count,comment_count,like_count,page,item_index,mid,scraped_at
英国足球那点事,🚨官宣！德国主帅纳格尔斯曼辞职，德国队本届世界杯止步32强。据昨日图片报报道，德国足协提出支付700万欧的赔偿金。纳格尔斯曼原先合同还剩两年。#纳格尔斯曼辞职##德国主帅下课# ​​​​,今天 18:02,@Dr-beilanche,36,31,167,1,1,5316655103346544,2026-07-03 19:15:29
留几手,我个人建议，即使你不喜欢足球，也应该抽空看看世界杯。因为这是4年一次，全世界共同关注参与，也是你观察这个世界的唯一窗口。你不看世界杯，难道去看那些举个破手机，拿张假截图，满嘴直冒泡子，给你“科普”国际秘闻的村炮盲流主播？即使你不懂球，也可以看看世界各族人民的风俗习惯和精神面貌 ​ 展开c,今天15:40,iPhone 17 Pro,90,317,1587,1,3,5316619794383345,2026-07-03 19:15:29
熊本社长,说实话，我喜欢看世界杯的原因不是因为足球，我喜欢足球的故事。2022年阿根廷经济体系接近崩溃，这让本身就贫困的阿根廷人生活更加艰难，足球是他们最重要的精神寄托。而那一年和法国队的决赛，是他们在经过了三十六年半冠军真空期后获得的又一次争冠机会。比赛加时赛阶段，阿根廷领先一球，法国队 ​ 展开c,47分钟前,iPhone Air,13,15,285,1,4,5316662113080073,2026-07-03 19:15:29
王多多1991,#王多多锐评世界杯# 老话，我的预测总是带有个人偏见，大家谨慎观看，具体结果见仁见智。如果不看好一些队伍，并无任何贬损之意，仅探讨该比赛的部分可能性。免费发电⚡️不易，请友好沟通，切莫执著，执著变。1.澳大利亚🇦🇺vs埃及🇪🇬（同时这是我的解说场🎙️澳大利亚? ​ 展开c,今天15:17,iPhone 16 Pro,5,97,350,1,5,5316614182405786,2026-07-03 19:15:29
英国足球那点事,#曝墨西哥毒枭威胁对手球员输球# 记者Eduardo Feinmann：墨西哥贩毒集团曾威胁厄瓜多尔球员输掉对阵墨西哥的比赛。在世界杯1/16决赛对阵墨西哥的比赛前，厄瓜多尔国家队球员遭到墨西哥某贩毒集团恐吓施压。有5名球员被点名，并收到了涉及家人的具体信息，用以制造心理压力。最终厄瓜多尔0-2输掉了比 ​ 展开c,今天17:25,微博网页版,37,48,272,1,6,5316646400954816,2026-07-03 19:15:29
直播吧,绝平无效！马塔诺维奇：感觉头发好像碰到了球，裁判说球里有芯片美加墨世界杯1/16决赛，克罗地亚1-2不敌葡萄牙无缘16强，在下半场补时第13分钟，克罗地亚曾打入一球，但在VAR介入后判罚克罗地亚越位在先进球无效，赛后克罗地亚的马塔诺维奇接受采访。在克罗地亚进球后VAR介入显示，皮球中的芯片检 ​ 展开c,今天10:53,微博网页版,8,45,176,1,7,5316547650256984,2026-07-03 19:15:29
央视新闻,​#世界杯上的相知相惜#【致敬老将！#C罗魔笛紧紧相拥#】#C罗送别魔笛#，两位老友紧紧相拥足球场上不只有相爱相杀，还有永恒的相知相惜。再见魔笛，加油C罗！ ​,今天09:15,微博网页版,1092,452,8175,1,8,5316522920641034,2026-07-03 19:15:29
老枪plus,公平说，今天更该回家的不该是莫德里奇。今天的裁判令人恶心，和央视解说，一个在场上恶心人，一个在电视上恶心人。按现实的结果说，克罗地亚还是倒在了体能上，第94分钟那个最后失球，其实和日本被巴西那个绝杀类似，并不是攻方的绝对机会，更多是防守球员们体能严重不足，无法正常反应与应对。这 ​ 展开c,今天09:27,,16,32,354,1,9,5316525943686596,2026-07-03 19:15:29
央视频,【#葡萄牙补时反超克罗地亚#】#葡萄牙头球绝杀# 2026世界杯1/16决赛，#葡萄牙vs克罗地亚#，贡萨洛·拉莫斯头球绝杀，葡萄牙队进球2-1反超！ ​​​​ L央视频的微博视频 ​,今天09:01,微博视频号,506,518,6771,1,10,5316519508838595,2026-07-03 19:15:29
包容万物恒河水,🔻这届世界杯的新规则给人印象深刻的有两个：🔻一个是我系姆巴佩，补水啦！🔻另一个是VAR的频繁介入。🔻可以说都改变了很多比赛的结果。#莫德里奇炮轰裁判##非正经观战世界杯##海外新鲜事# ​,今天17:54,,3,36,144,1,11,5316653728399976,2026-07-03 19:15:29
记录者寒冰,#世界杯##德国队主帅正式下课# 纳格尔斯曼这个成绩，就是自己赖着不走 等着足协炒掉他拿违约金。教练都是这样毫无廉耻心，只想着个人私利，治下的德国队又能好到哪里去？纳格尔斯曼不仅背离了自己的执教原则，执教风格，也丝毫没有担当。德媒透露点球大战时，竟然有多名球员拒绝主罚点球，最后是从未 ​ 展开c,23秒前,荣耀200 写真相机,0,0,0,1,12,5316673968278570,2026-07-03 19:15:29
万维视频,【#C罗祝莫德里奇未来一切顺利#】北京时间7月3日，世界杯1/16决赛，葡萄牙2-1逆转克罗地亚。赛后，葡萄牙队长C罗也谈到了莫德里奇。他表示：“我和莫德里奇一起踢了很多年球，很高兴看到他仍然保持着顶级水准。我对他说，祝贺你，卢卡，祝你未来的职业生涯一切顺利。”（虎扑）@万维视频 ​ 展开c,1分钟前,微博视频号,0,0,0,1,13,5316673779532861,2026-07-03 19:15:29
今视频长天新闻,【#世界杯16强已出炉13席#】#世界杯16强剩3席# 7月3日，随着瑞士 VS 阿尔及利亚的比赛结束，2026美加墨世界杯16强席位已确定13席，分别是：加拿大、巴西、巴拉圭、摩洛哥、挪威、法国、墨西哥、英格兰、比利时、美国、西班牙、葡萄牙、瑞士。世界杯16强席位剩最后3席！阿根廷明日出战。（星视频、中国 ​ 展开c,1分钟前,微博视频号,0,0,0,1,14,5316673707966804,2026-07-03 19:15:29
